Frequency,Filter,Threshold,Frame Bitrate,Average IoU
1.5,pixel,0.0400,2100,0.8306
1.5,pixel,0.0400,2400,0.8303
1.5,pixel,0.0400,2700,0.8311
1.5,pixel,0.0400,3000,0.8272
1.5,pixel,0.0500,100,0.6942
1.5,pixel,0.0500,400,0.7437
1.5,pixel,0.0500,700,0.7660
1.5,pixel,0.0500,1000,0.7737
1.5,pixel,0.0500,1300,0.7771
1.5,pixel,0.0500,1600,0.7781
1.5,pixel,0.0500,1900,0.7798
1.5,pixel,0.0500,2100,0.7776
1.5,pixel,0.0500,2400,0.7761
1.5,pixel,0.0500,2700,0.7797
1.5,pixel,0.0500,3000,0.7746
1.5,pixel,0.0600,100,0.6586
1.5,pixel,0.0600,400,0.7140
1.5,pixel,0.0600,700,0.7318
1.5,pixel,0.0600,1000,0.7343
1.5,pixel,0.0600,1300,0.7346
1.5,pixel,0.0600,1600,0.7382
1.5,pixel,0.0600,1900,0.7379
1.5,pixel,0.0600,2100,0.7394
1.5,pixel,0.0600,2400,0.7399
1.5,pixel,0.0600,2700,0.7368
1.5,pixel,0.0600,3000,0.7378
1.5,pixel,0.0700,100,0.5268
1.5,pixel,0.0700,400,0.6441
1.5,pixel,0.0700,700,0.6620
1.5,pixel,0.0700,1000,0.6676
1.5,pixel,0.0700,1300,0.6745
1.5,pixel,0.0700,1600,0.6818
1.5,pixel,0.0700,1900,0.6714
1.5,pixel,0.0700,2100,0.6794
1.5,pixel,0.0700,2400,0.6790
1.5,pixel,0.0700,2700,0.6720
1.5,pixel,0.0700,3000,0.6820
1.5,pixel,0.0800,100,0.4515
1.5,pixel,0.0800,400,0.5895
1.5,pixel,0.0800,700,0.6347
1.5,pixel,0.0800,1000,0.6259
1.5,pixel,0.0800,1300,0.6250
1.5,pixel,0.0800,1600,0.6308
1.5,pixel,0.0800,1900,0.6282
1.5,pixel,0.0800,2100,0.6271
1.5,pixel,0.0800,2400,0.6286
1.5,pixel,0.0800,2700,0.6308
1.5,pixel,0.0800,3000,0.6298
1.5,pixel,0.0900,100,0.4196
1.5,pixel,0.0900,400,0.5530
1.5,pixel,0.0900,700,0.5939
1.5,pixel,0.0900,1000,0.5949
1.5,pixel,0.0900,1300,0.5885
1.5,pixel,0.0900,1600,0.5946
1.5,pixel,0.0900,1900,0.5891
1.5,pixel,0.0900,2100,0.5918
1.5,pixel,0.0900,2400,0.5914
1.5,pixel,0.0900,2700,0.5928
1.5,pixel,0.0900,3000,0.5905
1.5,pixel,0.1000,100,0.3484
1.5,pixel,0.1000,400,0.5071
1.5,pixel,0.1000,700,0.5393
1.5,pixel,0.1000,1000,0.5416
1.5,pixel,0.1000,1300,0.5509
1.5,pixel,0.1000,1600,0.5440
1.5,pixel,0.1000,1900,0.5489
1.5,pixel,0.1000,2100,0.5503
1.5,pixel,0.1000,2400,0.5446
1.5,pixel,0.1000,2700,0.5492
1.5,pixel,0.1000,3000,0.5485
1.8,area,0.0000,100,0.8971
1.8,area,0.0000,400,0.9366
1.8,area,0.0000,700,0.9460
1.8,area,0.0000,1000,0.9466
1.8,area,0.0000,1300,0.9473
1.8,area,0.0000,1600,0.9472
1.8,area,0.0000,1900,0.9485
1.8,area,0.0000,2100,0.9499
1.8,area,0.0000,2400,0.9477
1.8,area,0.0000,2700,0.9489
1.8,area,0.0000,3000,0.9490
1.8,area,0.0100,100,0.8160
1.8,area,0.0100,400,0.8645
1.8,area,0.0100,700,0.8715
1.8,area,0.0100,1000,0.8744
1.8,area,0.0100,1300,0.8754
1.8,area,0.0100,1600,0.8777
1.8,area,0.0100,1900,0.8762
1.8,area,0.0100,2100,0.8770
1.8,area,0.0100,2400,0.8761
1.8,area,0.0100,2700,0.8764
1.8,area,0.0100,3000,0.8761
1.8,area,0.0200,100,0.7650
1.8,area,0.0200,400,0.8128
1.8,area,0.0200,700,0.8263
1.8,area,0.0200,1000,0.8330
1.8,area,0.0200,1300,0.8287
1.8,area,0.0200,1600,0.8289
1.8,area,0.0200,1900,0.8299
1.8,area,0.0200,2100,0.8348
1.8,area,0.0200,2400,0.8355
1.8,area,0.0200,2700,0.8311
1.8,area,0.0200,3000,0.8304
1.8,area,0.0300,100,0.7005
1.8,area,0.0300,400,0.7601
1.8,area,0.0300,700,0.7706
1.8,area,0.0300,1000,0.7750
1.8,area,0.0300,1300,0.7750
1.8,area,0.0300,1600,0.7751
1.8,area,0.0300,1900,0.7755
1.8,area,0.0300,2100,0.7768
1.8,area,0.0300,2400,0.7763
1.8,area,0.0300,2700,0.7779
1.8,area,0.0300,3000,0.7789
1.8,area,0.0400,100,0.5933
1.8,area,0.0400,400,0.6632
1.8,area,0.0400,700,0.6751
1.8,area,0.0400,1000,0.6918
1.8,area,0.0400,1300,0.6897
1.8,area,0.0400,1600,0.6933
1.8,area,0.0400,1900,0.6926
1.8,area,0.0400,2100,0.6881
1.8,area,0.0400,2400,0.6911
1.8,area,0.0400,2700,0.6938
1.8,area,0.0400,3000,0.6939
1.8,area,0.0500,100,0.4849
1.8,area,0.0500,400,0.5816
1.8,area,0.0500,700,0.6065
1.8,area,0.0500,1000,0.6092
1.8,area,0.0500,1300,0.6134
1.8,area,0.0500,1600,0.6134
1.8,area,0.0500,1900,0.6228
1.8,area,0.0500,2100,0.6141
1.8,area,0.0500,2400,0.6159
1.8,area,0.0500,2700,0.6177
1.8,area,0.0500,3000,0.6144
1.8,area,0.0600,100,0.4380
1.8,area,0.0600,400,0.5424
1.8,area,0.0600,700,0.5734
1.8,area,0.0600,1000,0.5850
1.8,area,0.0600,1300,0.5835
1.8,area,0.0600,1600,0.5852
1.8,area,0.0600,1900,0.5949
1.8,area,0.0600,2100,0.5833
1.8,area,0.0600,2400,0.5862
1.8,area,0.0600,2700,0.5854
1.8,area,0.0600,3000,0.5879
1.8,area,0.0700,100,0.3503
1.8,area,0.0700,400,0.4964
1.8,area,0.0700,700,0.5333
1.8,area,0.0700,1000,0.5349
1.8,area,0.0700,1300,0.5418
1.8,area,0.0700,1600,0.5336
1.8,area,0.0700,1900,0.5358
1.8,area,0.0700,2100,0.5407
1.8,area,0.0700,2400,0.5405
1.8,area,0.0700,2700,0.5371
1.8,area,0.0700,3000,0.5385
1.8,area,0.0800,100,0.3662
1.8,area,0.0800,400,0.4602
1.8,area,0.0800,700,0.5024
1.8,area,0.0800,1000,0.5072
1.8,area,0.0800,1300,0.5101
1.8,area,0.0800,1600,0.5117
1.8,area,0.0800,1900,0.5069
1.8,area,0.0800,2100,0.5095
1.8,area,0.0800,2400,0.5048
1.8,area,0.0800,2700,0.5050
1.8,area,0.0800,3000,0.5087
1.8,area,0.0900,100,0.3488
1.8,area,0.0900,400,0.4500
1.8,area,0.0900,700,0.4753
1.8,area,0.0900,1000,0.4834
1.8,area,0.0900,1300,0.4936
1.8,area,0.0900,1600,0.4944
1.8,area,0.0900,1900,0.4838
1.8,area,0.0900,2100,0.4842
1.8,area,0.0900,2400,0.5024
1.8,area,0.0900,2700,0.4864
1.8,area,0.0900,3000,0.4879
1.8,area,0.1000,100,0.2465
1.8,area,0.1000,400,0.3537
1.8,area,0.1000,700,0.4644
1.8,area,0.1000,1000,0.4850
1.8,area,0.1000,1300,0.4819
1.8,area,0.1000,1600,0.4818
1.8,area,0.1000,1900,0.4736
1.8,area,0.1000,2100,0.4449
1.8,area,0.1000,2400,0.4718
1.8,area,0.1000,2700,0.4717
1.8,area,0.1000,3000,0.4476
1.8,edge,0.0000,100,0.8953
1.8,edge,0.0000,400,0.9346
1.8,edge,0.0000,700,0.9406
1.8,edge,0.0000,1000,0.9419
1.8,edge,0.0000,1300,0.9429
1.8,edge,0.0000,1600,0.9427
1.8,edge,0.0000,1900,0.9433
1.8,edge,0.0000,2100,0.9417
1.8,edge,0.0000,2400,0.9441
1.8,edge,0.0000,2700,0.9424
1.8,edge,0.0000,3000,0.9422
1.8,edge,0.0004,100,0.8999
1.8,edge,0.0004,400,0.9311
1.8,edge,0.0004,700,0.9418
1.8,edge,0.0004,1000,0.9456
1.8,edge,0.0004,1300,0.9453
1.8,edge,0.0004,1600,0.9456
1.8,edge,0.0004,1900,0.9461
1.8,edge,0.0004,2100,0.9455
1.8,edge,0.0004,2400,0.9468
1.8,edge,0.0004,2700,0.9449
1.8,edge,0.0004,3000,0.9450
1.8,edge,0.0008,100,0.8749
1.8,edge,0.0008,400,0.9236
1.8,edge,0.0008,700,0.9360
1.8,edge,0.0008,1000,0.9364
1.8,edge,0.0008,1300,0.9374
1.8,edge,0.0008,1600,0.9395
1.8,edge,0.0008,1900,0.9407
1.8,edge,0.0008,2100,0.9403
1.8,edge,0.0008,2400,0.9403
1.8,edge,0.0008,2700,0.9400
1.8,edge,0.0008,3000,0.9389
1.8,edge,0.0012,100,0.8822
1.8,edge,0.0012,400,0.9192
1.8,edge,0.0012,700,0.9240
1.8,edge,0.0012,1000,0.9249
1.8,edge,0.0012,1300,0.9305
1.8,edge,0.0012,1600,0.9313
1.8,edge,0.0012,1900,0.9312
1.8,edge,0.0012,2100,0.9271
1.8,edge,0.0012,2400,0.9314
1.8,edge,0.0012,2700,0.9281
1.8,edge,0.0012,3000,0.9301
1.8,edge,0.0016,100,0.8540
1.8,edge,0.0016,400,0.9029
1.8,edge,0.0016,700,0.9057
1.8,edge,0.0016,1000,0.9100
1.8,edge,0.0016,1300,0.9121
1.8,edge,0.0016,1600,0.9143
1.8,edge,0.0016,1900,0.9141
1.8,edge,0.0016,2100,0.9147
1.8,edge,0.0016,2400,0.9159
1.8,edge,0.0016,2700,0.9140
1.8,edge,0.0016,3000,0.9153
1.8,edge,0.0020,100,0.8184
1.8,edge,0.0020,400,0.8598
1.8,edge,0.0020,700,0.8742
1.8,edge,0.0020,1000,0.8750
1.8,edge,0.0020,1300,0.8793
1.8,edge,0.0020,1600,0.8824
1.8,edge,0.0020,1900,0.8793
1.8,edge,0.0020,2100,0.8825
1.8,edge,0.0020,2400,0.8823
1.8,edge,0.0020,2700,0.8857
1.8,edge,0.0020,3000,0.8841
1.8,edge,0.0024,100,0.8007
1.8,edge,0.0024,400,0.8277
1.8,edge,0.0024,700,0.8412
1.8,edge,0.0024,1000,0.8461
1.8,edge,0.0024,1300,0.8445
1.8,edge,0.0024,1600,0.8492
1.8,edge,0.0024,1900,0.8492
1.8,edge,0.0024,2100,0.8548
1.8,edge,0.0024,2400,0.8527
1.8,edge,0.0024,2700,0.8580
1.8,edge,0.0024,3000,0.8495
1.8,edge,0.0028,100,0.7388
1.8,edge,0.0028,400,0.7849
1.8,edge,0.0028,700,0.7889
1.8,edge,0.0028,1000,0.7993
1.8,edge,0.0028,1300,0.7960
1.8,edge,0.0028,1600,0.7974
1.8,edge,0.0028,1900,0.7946
1.8,edge,0.0028,2100,0.8030
1.8,edge,0.0028,2400,0.7954
1.8,edge,0.0028,2700,0.7988
1.8,edge,0.0028,3000,0.7985
1.8,edge,0.0032,100,0.6835
1.8,edge,0.0032,400,0.7230
1.8,edge,0.0032,700,0.7376
1.8,edge,0.0032,1000,0.7413
1.8,edge,0.0032,1300,0.7409
1.8,edge,0.0032,1600,0.7422
1.8,edge,0.0032,1900,0.7433
1.8,edge,0.0032,2100,0.7442
1.8,edge,0.0032,2400,0.7414
1.8,edge,0.0032,2700,0.7458
1.8,edge,0.0032,3000,0.7453
1.8,edge,0.0036,100,0.6305
1.8,edge,0.0036,400,0.6762
1.8,edge,0.0036,700,0.6935
1.8,edge,0.0036,1000,0.6961
1.8,edge,0.0036,1300,0.6938
1.8,edge,0.0036,1600,0.6920
1.8,edge,0.0036,1900,0.6959
1.8,edge,0.0036,2100,0.6947
1.8,edge,0.0036,2400,0.6912
1.8,edge,0.0036,2700,0.6959
1.8,edge,0.0036,3000,0.6941
1.8,edge,0.0040,100,0.5953
1.8,edge,0.0040,400,0.6428
1.8,edge,0.0040,700,0.6599
1.8,edge,0.0040,1000,0.6691
1.8,edge,0.0040,1300,0.6681
1.8,edge,0.0040,1600,0.6686
1.8,edge,0.0040,1900,0.6662
1.8,edge,0.0040,2100,0.6642
1.8,edge,0.0040,2400,0.6687
1.8,edge,0.0040,2700,0.6591
1.8,edge,0.0040,3000,0.6648
1.8,pixel,0.0000,100,0.9031
1.8,pixel,0.0000,400,0.9390
1.8,pixel,0.0000,700,0.9467
1.8,pixel,0.0000,1000,0.9482
1.8,pixel,0.0000,1300,0.9485
1.8,pixel,0.0000,1600,0.9494
1.8,pixel,0.0000,1900,0.9501
1.8,pixel,0.0000,2100,0.9504
1.8,pixel,0.0000,2400,0.9485
