Frequency,Filter,Threshold,Frame Bitrate,Average IoU
1.8,edge,0.0020,400,0.6271
1.8,edge,0.0020,700,0.6414
1.8,edge,0.0020,1000,0.6304
1.8,edge,0.0020,1300,0.6295
1.8,edge,0.0020,1600,0.6422
1.8,edge,0.0020,1900,0.6301
1.8,edge,0.0020,2100,0.6257
1.8,edge,0.0020,2400,0.6334
1.8,edge,0.0020,2700,0.6297
1.8,edge,0.0020,3000,0.6377
1.8,edge,0.0024,100,0.4502
1.8,edge,0.0024,400,0.5871
1.8,edge,0.0024,700,0.5960
1.8,edge,0.0024,1000,0.6001
1.8,edge,0.0024,1300,0.5984
1.8,edge,0.0024,1600,0.6132
1.8,edge,0.0024,1900,0.5977
1.8,edge,0.0024,2100,0.6061
1.8,edge,0.0024,2400,0.5952
1.8,edge,0.0024,2700,0.6142
1.8,edge,0.0024,3000,0.5986
1.8,edge,0.0028,100,0.4832
1.8,edge,0.0028,400,0.5961
1.8,edge,0.0028,700,0.6001
1.8,edge,0.0028,1000,0.5981
1.8,edge,0.0028,1300,0.6146
1.8,edge,0.0028,1600,0.5937
1.8,edge,0.0028,1900,0.6189
1.8,edge,0.0028,2100,0.5980
1.8,edge,0.0028,2400,0.6040
1.8,edge,0.0028,2700,0.5998
1.8,edge,0.0028,3000,0.6062
1.8,edge,0.0032,100,0.4046
1.8,edge,0.0032,400,0.5400
1.8,edge,0.0032,700,0.5252
1.8,edge,0.0032,1000,0.5543
1.8,edge,0.0032,1300,0.5439
1.8,edge,0.0032,1600,0.5556
1.8,edge,0.0032,1900,0.5523
1.8,edge,0.0032,2100,0.5637
1.8,edge,0.0032,2400,0.5604
1.8,edge,0.0032,2700,0.5708
1.8,edge,0.0032,3000,0.5600
1.8,edge,0.0036,100,0.3613
1.8,edge,0.0036,400,0.4912
1.8,edge,0.0036,700,0.4992
1.8,edge,0.0036,1000,0.5178
1.8,edge,0.0036,1300,0.5020
1.8,edge,0.0036,1600,0.5037
1.8,edge,0.0036,1900,0.5137
1.8,edge,0.0036,2100,0.5038
1.8,edge,0.0036,2400,0.4846
1.8,edge,0.0036,2700,0.5229
1.8,edge,0.0036,3000,0.4959
1.8,edge,0.0040,100,0.1162
1.8,edge,0.0040,400,0.4235
1.8,edge,0.0040,700,0.4388
1.8,edge,0.0040,1000,0.4419
1.8,edge,0.0040,1300,0.4202
1.8,edge,0.0040,1600,0.4370
1.8,edge,0.0040,1900,0.4380
1.8,edge,0.0040,2100,0.4434
1.8,edge,0.0040,2400,0.4430
1.8,edge,0.0040,2700,0.4371
1.8,edge,0.0040,3000,0.4351
1.8,pixel,0.0000,100,0.5994
1.8,pixel,0.0000,400,0.7101
1.8,pixel,0.0000,700,0.7048
1.8,pixel,0.0000,1000,0.7040
1.8,pixel,0.0000,1300,0.7135
1.8,pixel,0.0000,1600,0.7135
1.8,pixel,0.0000,1900,0.7144
1.8,pixel,0.0000,2100,0.7212
1.8,pixel,0.0000,2400,0.7151
1.8,pixel,0.0000,2700,0.7021
1.8,pixel,0.0000,3000,0.7085
1.8,pixel,0.0100,100,0.5641
1.8,pixel,0.0100,400,0.6966
1.8,pixel,0.0100,700,0.7083
1.8,pixel,0.0100,1000,0.6988
1.8,pixel,0.0100,1300,0.7067
1.8,pixel,0.0100,1600,0.6983
1.8,pixel,0.0100,1900,0.7008
1.8,pixel,0.0100,2100,0.7025
1.8,pixel,0.0100,2400,0.6963
1.8,pixel,0.0100,2700,0.7092
1.8,pixel,0.0100,3000,0.7096
1.8,pixel,0.0200,100,0.5654
1.8,pixel,0.0200,400,0.6701
