Frequency,Filter,Threshold,Frame Bitrate,Average IoU
1.8,area,0.0300,2700,0.7790
1.8,area,0.0300,3000,0.7790
1.8,area,0.0400,100,0.0000
1.8,area,0.0400,400,0.6959
1.8,area,0.0400,700,0.7303
1.8,area,0.0400,1000,0.7295
1.8,area,0.0400,1300,0.7235
1.8,area,0.0400,1600,0.7266
1.8,area,0.0400,1900,0.7276
1.8,area,0.0400,2100,0.7321
1.8,area,0.0400,2400,0.7292
1.8,area,0.0400,2700,0.7323
1.8,area,0.0400,3000,0.7286
1.8,area,0.0500,100,0.0000
1.8,area,0.0500,400,0.6880
1.8,area,0.0500,700,0.7282
1.8,area,0.0500,1000,0.7268
1.8,area,0.0500,1300,0.7301
1.8,area,0.0500,1600,0.7252
1.8,area,0.0500,1900,0.7287
1.8,area,0.0500,2100,0.7266
1.8,area,0.0500,2400,0.7317
1.8,area,0.0500,2700,0.7336
1.8,area,0.0500,3000,0.7291
1.8,area,0.0600,100,0.0000
1.8,area,0.0600,400,0.6876
1.8,area,0.0600,700,0.7319
1.8,area,0.0600,1000,0.7231
1.8,area,0.0600,1300,0.7244
1.8,area,0.0600,1600,0.7232
1.8,area,0.0600,1900,0.7248
1.8,area,0.0600,2100,0.7320
1.8,area,0.0600,2400,0.7337
1.8,area,0.0600,2700,0.7313
1.8,area,0.0600,3000,0.7288
1.8,area,0.0700,100,0.0000
1.8,area,0.0700,400,0.6855
1.8,area,0.0700,700,0.7292
1.8,area,0.0700,1000,0.7279
1.8,area,0.0700,1300,0.7257
1.8,area,0.0700,1600,0.7242
1.8,area,0.0700,1900,0.7267
1.8,area,0.0700,2100,0.7327
1.8,area,0.0700,2400,0.7332
1.8,area,0.0700,2700,0.7288
1.8,area,0.0700,3000,0.7332
1.8,area,0.0800,100,0.0000
1.8,area,0.0800,400,0.6918
1.8,area,0.0800,700,0.7298
1.8,area,0.0800,1000,0.7271
1.8,area,0.0800,1300,0.7298
1.8,area,0.0800,1600,0.7312
1.8,area,0.0800,1900,0.7324
1.8,area,0.0800,2100,0.7312
1.8,area,0.0800,2400,0.7274
1.8,area,0.0800,2700,0.7338
1.8,area,0.0800,3000,0.7316
1.8,area,0.0900,100,0.0000
1.8,area,0.0900,400,0.6798
1.8,area,0.0900,700,0.7307
1.8,area,0.0900,1000,0.7281
1.8,area,0.0900,1300,0.7245
1.8,area,0.0900,1600,0.7309
1.8,area,0.0900,1900,0.7285
1.8,area,0.0900,2100,0.7242
1.8,area,0.0900,2400,0.7276
