Frequency,Filter,Threshold,Frame Bitrate,Frame Count
1.8,pixel,0.0700,1900,99
1.8,pixel,0.0700,2100,99
1.8,pixel,0.0700,2400,99
1.8,pixel,0.0700,2700,99
1.8,pixel,0.0700,3000,99
1.8,pixel,0.0700,400,99
1.8,pixel,0.0700,700,99
1.8,pixel,0.0800,100,66
1.8,pixel,0.0800,1000,66
1.8,pixel,0.0800,1300,66
1.8,pixel,0.0800,1600,66
1.8,pixel,0.0800,1900,66
1.8,pixel,0.0800,2100,66
1.8,pixel,0.0800,2400,66
1.8,pixel,0.0800,2700,66
1.8,pixel,0.0800,3000,66
1.8,pixel,0.0800,400,66
1.8,pixel,0.0800,700,66
1.8,pixel,0.0900,100,45
1.8,pixel,0.0900,1000,45
1.8,pixel,0.0900,1300,45
1.8,pixel,0.0900,1600,45
1.8,pixel,0.0900,1900,45
1.8,pixel,0.0900,2100,45
1.8,pixel,0.0900,2400,45
1.8,pixel,0.0900,2700,45
1.8,pixel,0.0900,3000,45
1.8,pixel,0.0900,400,45
1.8,pixel,0.0900,700,45
1.8,pixel,0.1000,100,29
1.8,pixel,0.1000,1000,29
1.8,pixel,0.1000,1300,29
1.8,pixel,0.1000,1600,29
1.8,pixel,0.1000,1900,29
1.8,pixel,0.1000,2100,29
1.8,pixel,0.1000,2400,29
1.8,pixel,0.1000,2700,29
1.8,pixel,0.1000,3000,29
1.8,pixel,0.1000,400,29
1.8,pixel,0.1000,700,29
2.1,area,0.0000,100,1369
2.1,area,0.0000,1000,1329
2.1,area,0.0000,1300,1318
2.1,area,0.0000,1600,1331
2.1,area,0.0000,1900,1319
2.1,area,0.0000,2100,1303
2.1,area,0.0000,2400,1306
2.1,area,0.0000,2700,1304
2.1,area,0.0000,3000,1304
2.1,area,0.0000,400,1353
2.1,area,0.0000,700,1337
2.1,area,0.0100,100,844
2.1,area,0.0100,1000,832
2.1,area,0.0100,1300,827
2.1,area,0.0100,1600,826
2.1,area,0.0100,1900,823
2.1,area,0.0100,2100,825
2.1,area,0.0100,2400,827
2.1,area,0.0100,2700,826
2.1,area,0.0100,3000,821
2.1,area,0.0100,400,838
2.1,area,0.0100,700,838
2.1,area,0.0200,100,475
2.1,area,0.0200,1000,472
2.1,area,0.0200,1300,471
2.1,area,0.0200,1600,473
2.1,area,0.0200,1900,470
2.1,area,0.0200,2100,470
2.1,area,0.0200,2400,471
2.1,area,0.0200,2700,471
2.1,area,0.0200,3000,472
2.1,area,0.0200,400,476
2.1,area,0.0200,700,473
2.1,area,0.0300,100,262
2.1,area,0.0300,1000,261
2.1,area,0.0300,1300,263
2.1,area,0.0300,1600,262
2.1,area,0.0300,1900,264
2.1,area,0.0300,2100,262
2.1,area,0.0300,2400,263
2.1,area,0.0300,2700,261
2.1,area,0.0300,3000,262
2.1,area,0.0300,400,264
2.1,area,0.0300,700,262
2.1,area,0.0400,100,134
2.1,area,0.0400,1000,134
2.1,area,0.0400,1300,134
2.1,area,0.0400,1600,134
2.1,area,0.0400,1900,134
2.1,area,0.0400,2100,134
2.1,area,0.0400,2400,135
2.1,area,0.0400,2700,134
2.1,area,0.0400,3000,134
2.1,area,0.0400,400,134
2.1,area,0.0400,700,133
2.1,area,0.0500,100,75
2.1,area,0.0500,1000,75
2.1,area,0.0500,1300,75
2.1,area,0.0500,1600,75
2.1,area,0.0500,1900,75
2.1,area,0.0500,2100,75
2.1,area,0.0500,2400,75
2.1,area,0.0500,2700,75
